"Acronym","Study Name","Background","Conclusions","Conditions","Objectives","Subjects"
"CDP","Coronary Drug Project (CDP)","The correlation of high levels of serum cholesterol with an increased incidence and prevalence of coronary heart disease (CHD) has been demonstrated repeatedly in prospective and cross-sectional epidemiological surveys. At the time of this study, it was not yet clear whether hyperlipidemia also influences risk of recurrent nonfatal and fatal CHD events in survivors of a first attack.

Many pharmaceutical agents lower serum lipid levels, and several had been extensively investigated by the start of this study. However, definitive knowledge was not yet available concerning long-term safety and efficacy of any preparation. Therefore, the Coronary Drug Project was initiated to investigate the long-term effects of several lipid lowering medications.","Analysis indicated nonfatal adverse effects were occurring more often in the high-dose estrogen group than in the placebo group and treatment was discontinued in 1970. The DT4-dextrothyroxine group was discontinued late in 1971 because of an excess number of deaths compared with the placebo group. Based on no evidence of a positive therapeutic effect in terms of the project's primary endpoint, all-cause mortality, the low-dose estrogen group was discontinued in 1973.

The Coronary Drug Project: Initial Findings Leading to Modifications of Its Research Protocol. JAMA. 1970;214(7):1303–1313. doi:10.1001/jama.1970.03180070069012","Myocardial Infarction, Heart Diseases, Myocardial Ischemia, Cardiovascular Diseases, Coronary Disease","The objectives of the Coronary Drug Project were to 1) test efficacy and safety of several drugs in the long-term therapy of coronary heart disease in men with previous myocardial infarction; 2) obtain information on the natural history and clinical course of coronary heart disease; and 3) develop more advanced methodology for the design and conduct of long-term, large, collaborative clinical trials.","Eligible participants were men aged 30 to 64 who had a previous myocardial infarction (MI) categorized as New York Heart Association (NYHA) class I or II at least 3 months prior to enrollment. Exclusion criteria included previous surgery for coronary artery disease, major diseases or conditions that could affect long-term follow-up, and contraindication for use of the study drugs. At time of entry, participants could not be on lipid influencing medications or insulin.

8341 men were randomly assigned to treatment groups.  1101 men were randomly assigned to the low dose estrogen group, 1119 to the high dose estrogen group, 1103 to the clofibrate group, 1110 to the DT4-dextrothyroxine group, 1119 to the niacin group, and 2789 to the placebo group."
"CureSCi-HCT for SCD","Cure Sickle Cell Initiative (CureSCi) - Hematopoietic Cell Transplant for Sickle Cell Disease (HCT for SCD)","Hematopoietic cell transplant for sickle cell disease is curative. Offering this treatment for patients with severe disease is challenging as only about 20-25% of patients expected to benefit have an HLA-matched sibling. Consequently, several transplantations have utilized an HLA-matched or mismatched unrelated adult donor and HLA-mismatched relative.  Transplantation strategies have also evolved over time that has included transplant conditioning regimens of varying intensity, grafts other than bone marrow and novel approaches to overcome the donor-recipient histocompatibility barrier and limit graft-versus-host disease.  The data that is available for sickle cell disease transplants have been utilized to report on outcomes after transplantation and compare outcomes after transplantation of grafts HLA-matched related, HLA-mismatched related, HLA-matched and HLA-mismatched unrelated donors. Collectively, these data have advanced our knowledge and understanding of hematopoietic cell transplant for this disease.  These data can also serve as “contemporaneous controls” for comparison with other more recent curative treatments like gene therapy and gene editing.","","Autologous Stem Cell Transplantation, Allogeneic Stem Cell Transplantation, Solid Tumors, Blood Cancers","The Center for International Blood and Marrow Transplant Research (CIBMTR) is a hematopoietic cell transplant registry that was established in 1972 at the Medical College of Wisconsin. The overarching goal of the registry is to study trends in transplantations and to advance the understanding and application of allogeneic hematopoietic cell transplantation for malignant and non-malignant diseases. Included in this dataset are children, adolescents and young adults with severe sickle cell disease who received an allogeneic hematopoietic cell transplant in the United States and provided written informed consent for research.","Included are patients aged < 1 – 58 years who were transplanted for sickle cell disease in the United States from 106 transplant centers. 63% underwent HLA-matched sibling, 16%, HLA-mismatched related donor, 21% HLA-matched or mismatched unrelated donor transplant.

This dataset includes 1,518 patients with Transplant Essential Data and a subset (699 of 1,518 patients) with Comprehensive Data."
"CARE-PEAK","Childhood Asthma Research and Education (CARE) Network Trial - Prevention of Early Asthma in Kids (PEAK)","The prevalence of asthma has increased in all age groups, but most particularly in children under the age of 18 years. Despite major advances in understanding the etiology and pathophysiology of asthma and the development of new therapeutic modalities to control symptoms and prevent exacerbations, effective therapies are not widely used in the pediatric health care community. Furthermore, the long-term effects and side effects of asthma medications in children, especially children under the age of 12 years, are not well understood. Treatment of school-age children using inhaled corticosteroids has been associated with improvements in asthma control, however these improvements were not sustained after medication discontinuation. The PEAK investigators hypothesized that a sustained effect may be observed in patients treated with inhaled corticosteroids early in life, prior to the development of persistent disease and chronic loss of lung function.","The CARE-PEAK study did not show a statistically significant response in children at high risk for asthma. Although the use of inhaled corticosteroid reduced symptoms and exacerbations during the treatment period, it was not successful in decreasing the proportion of episode-free days, the number of exacerbations, or lung function during the observation year.

Guilbert TW, Morgan WJ, Zeiger RS, et al. Long-term inhaled corticosteroids in preschool children at high risk for asthma. N Engl J Med. 2006;354(19):1985-1997. doi:10.1056/NEJMoa051378","Asthma, Lung Diseases","To evaluate whether administering inhaled corticosteroids to 24–36-month-old children at risk of developing asthma prevented the development of persistent asthma.","Enrolled children had no clinically significant medical disorders apart from wheezing or allergy and were at high risk for the persistence of asthma-like symptoms during their school years, according to a positive modified asthma predictive index.

Children who had received more than four months of treatment with inhaled corticosteroids before enrollment and/or whose asthma symptoms required inhaled corticosteroids during the run-in month were excluded from the trial.

A total of 285 children were randomly assigned to receive either the inhaled corticosteroid (fluticasone propionate [Flovent] at a dose of two 44-μg puffs) twice daily by metered-dose inhaler) or placebo for two years."
"PETAL-ROSE","Prevention and Early Treatment of Acute Lung Injury (PETAL) Network – Reevaluation of Systemic Early Neuromuscular Blockade (ROSE)","It has been well established that the approaches used for the application of mechanical ventilation in patients with acute respiratory distress syndrome (ARDS) can affect survival and outcomes after discharge from the intensive care unit (ICU). A large, multicenter trial conducted a decade before this study reported that the early administration of a 48-hour infusion of neuromuscular blockade in patients with moderate-to-severe ARDS (defined by a ratio of the partial pressure of arterial oxygen [Pao2] to the fraction of inspired oxygen [Fio2] of <150 mm Hg with a positive end-expiratory pressure [PEEP] of ≥5 cm of water) resulted in lower mortality than a strategy of deep sedation without routine neuromuscular blockade. Despite these encouraging results, early neuromuscular blockade has not been widely adopted. Potential concerns include the lack of research comparing neuromuscular blockade and deep sedation with current practice (which promotes lighter sedation targets) as well as limited data on the effect of neuromuscular blockade on neuromuscular function and other long-term outcomes. Therefore, the PETAL-ROSE study was initiated to determine the efficacy and safety of early neuromuscular blockade with concomitant heavy sedation as compared with a strategy of usual care with lighter sedation targets.","After the second interim analysis, the decision to stop the trial for futility was made independently by the data and safety monitoring board.

In critically ill patients identified shortly after the diagnosis of moderate-to-severe ARDS, the addition of early continuous neuromuscular blockade with concomitant deep sedation did not result in lower mortality than a usual-care approach to mechanical ventilation that included lighter sedation targets.

National Heart, Lung, and Blood Institute PETAL Clinical Trials Network, Moss M, Huang DT, et al. Early Neuromuscular Blockade in the Acute Respiratory Distress Syndrome. N Engl J Med. 2019;380(21):1997-2008. doi:10.1056/NEJMoa1901686","ARDS","To determine the efficacy and safety of early neuromuscular blockade with concomitant heavy sedation as compared with a strategy of usual care with lighter sedation targets in patients with moderate-to-severe ARDS.","Eligible participants were adults undergoing mechanical ventilation through an endotracheal tube and who had the presence of all the following conditions for less than 48 hours: PaO2/FiO2 < 150 mm Hg with a PEEP of ≥ 8 cm of water, bilateral pulmonary opacities not explained by effusions or lung collapse, and respiratory failure not explained by cardiac failure or fluid overload.

1006 participants were enrolled. 501 participants were randomly assigned to the intervention group, and 505 participants were randomly assigned to the control group."
"ROSTERS","Randomized Order Safety Trial Evaluating Resident-physician Schedules Study (ROSTERS)","Beginning in July 2011, the Accreditation Council for Graduate Medical Education (ACGME) limited interns to 16 consecutive hours of work; second year (PGY2) and higher resident-physicians were permitted to work up to 28 consecutive hours and 88 hours weekly, averaged over 4 weeks. Despite extensive literature demonstrating the hazards of sleep deprivation, however, questions have persisted about whether the 2011 ACGME standards would be beneficial, as this mandate increased the number of handovers of care and may lead to decreases in staffing and physician-patient ratios. Prior studies evaluating the effects on the safety of the ACGME’s 2011 standards have shown mixed results. Furthermore, the outcomes in these prior studies may not have been sufficiently sensitive to measure important adverse effects and did not rigorously capture the work hours, sleep, or neurobehavioral performance of the resident-physicians. In addition, most prior studies have not assessed the effects of roster changes on PGY2 and higher resident-physicians.","Resident physicians who were randomly assigned to schedules that eliminated extended shifts made more serious errors than resident physicians assigned to schedules with extended shifts, although the effect varied by site. The number of ICU patients cared for by each resident physician was higher during schedules that eliminated extended shifts.

Landrigan CP, Rahman SA, Sullivan JP, et al. Effect on Patient Safety of a Resident Physician Schedule without 24-Hour Shifts. N Engl J Med. 2020;382(26):2514-2523. doi:10.1056/NEJMoa1900669","Physician Fatigue","The primary goal of the ROSTERS study was to assess whether implementation of a schedule that eliminated shifts ≥24 hours for resident-physicians [Post Graduate year (PGY) 2 or higher] would result in improved patient safety. Specifically, rates of serious medical errors when resident-physicians worked a traditional extended duration work roster (EDWR) were compared with a rapidly cycling work roster (RCWR), during which shifts were limited to 16 consecutive hours.","The study involved 6,577 patients (n=3,267 EDWR, n=3,310 RCWR) with a total of 38,821 patient days (n=18,749 EDWR, n=20,072 RCWR). The study included 336 resident-physicians (n=172 EDWR, n=188 RCWR, n=27 both, n=3 withdrawn) observed over 413 rotations (n=203 EDWR, n=210 RCWR)."
"REVIVAL","Registry Evaluation of Vital Information for VADs in Ambulatory Life (REVIVAL)","Identification of patients at high risk for mortality is vital to advance cardiac therapies. Heart failure scores based on results from earlier clinical trials have generally underestimated mortality in advanced heart failure. Breakthroughs in mechanical circulatory support (MCS) have extended survival and quality of life measures in the most advanced heart failure patients. Increased survival of advanced heart failure patients combined with shortages of donor organs resulted in the United Network to Organ Sharing (UNOS) limiting priority to hospitalized patients or those on MCS. Consequently, those patients who were “less sick” were de-prioritized for transplantation, which resulted in a need to decrease mortality and morbidity through other therapies. There was limited evidence on the clinical characteristics of patients that would benefit the most from MCS compared to new medical therapies such as Left-ventricular assisted device (LVAD).  The REVIVAL study was initiated with the broader goal of improving prognostic assessment in chronic, ambulatory, advanced systolic heart failure and to better inform the selection of appropriate candidates for future studies on additional strategies.","","Heart Failure, Heart Failure, Congestive","To provide a greater understanding of the clinical trajectory of ambulatory patients with chronic, advanced, systolic heart failure that may benefit from ventricular assisted device (VAD) therapy and determine the relationship between baseline clinical measures and prognosis.","REVIVAL enrolled 400 subjects from participating study sites.

Selected subjects were aged 18-80 and diagnosed with ambulatory chronic systolic heart failure for more than 12 months. They were under the care of a cardiologist at selected study sites on appropriate evidenced -based heart failure medications and willing to continue to receive care from the enrolling advanced heart failure clinic over 2 years. Additional criteria included: NYHA class II -IV for at least 45 of the last 60 days; documented left ventricular ejection fraction ≤ 35% by any imaging modality; ICD or CRT-D.

Subjects were excluded for the following reasons: a known serious medical problem other than heart failure that would be expected to limit 2-year survival (≥50% mortality within 2 years from non-heart failure diagnosis); current hospitalization, current use of an intravenous inotrope; uncorrected thyroid disorder; pregnancy. Subjects were excluded for additional medical or diagnostic criteria that would affect participation in the study."
"BMT CTN-1204","Blood and Marrow Transplant Clinical Trials Network (BMT CTN) Reduced Intensity Conditioning for Children and Adults With Hemophagocytic Syndromes or Selected Primary Immune Deficiencies (1204)","Hematopoietic cell transplant (HCT) is required for long-term survival in many patients with primary defects of the immune system.  The major obstacles to long-term survival in these patients, many of whom have significant morbidities at the time of transplant, are treatment-related mortality and durable immune reconstitution.  Several studies have shown that reduced-intensity conditioning (RIC) significantly improved outcomes in patients with immune deficiencies such as hemophagocytic lymphohistiocytosis (HLH).  However, the decrease in treatment-related morbidity and mortality comes with increased risk of inadequate durable engraftment.  In an institutional case series of patients with HLH and related disorders, “intermediate” (Day -14) timing of alemtuzumab administration maintained excellent survival rates with improved stable engraftment.

Although a RIC approach for HLH appears to be effective, the optimal dose and timing of alemtuzumab and other therapeutic agents used in conditioning to achieve maximum survival with improved engraftment remained to be defined. Therefore, this study was initiated to test the efficacy of intermediate-timed alemtuzumab as part of a RIC protocol in patients with HLH and other primary immunodeficiencies.","Although the RIC provided successful engraftment in the majority of patients, the regimen cannot be considered safe for widespread adoption without modification due to regimen-related toxicity and the high rate of chronic graft-versus-host disease (GVHD), which was the predominant cause of mortality.

Allen CE, Marsh R, Dawson P, et al. Reduced-intensity conditioning for hematopoietic cell transplant for HLH and primary immune deficiencies. Blood. 2018;132(13):1438-1451. doi:10.1182/blood-2018-01-828277","IPEX, Leukocyte Adhesion Deficiency, HIGM-1, Chronic Granulomatous Disease, Chronic Active Epstein-Barr Virus Infection, Hemophagocytic Lymphohistiocytosis","To test the safety and efficacy of intermediate timing (day −14) of alemtuzumab as part of a reduced-intensity conditioning protocol in subjects with hemophagocytic lymphohistiocytosis and other primary immunodeficiencies.","Eligible patients were > 3 months and ≤ 45 years of age with Lansky/Karnofsky performance status ≥ 50% who have hemophagocytic lymphohistiocytosis (HLH) or related disorders, or selected immune deficiencies [chronic active Epstein-Barr virus disease (CAEBV), chronic granulomatous disease (CGD), hyperimmunoglobulin M (HIGM1) syndrome, X-linked (IPEX) syndrome, or leukocyte adhesion deficiency (LAD)], with an indication for HCT. Patients had adequate cardiac, renal, hepatic, and pulmonary organ function.  Exclusion criteria included prior HCT within 6 months of enrollment and administration of alemtuzumab within 2 weeks of enrollment.

46 patients were enrolled and underwent HCT, 34 patients with HLH and 12 patients with other primary immune deficiency diseases."
"TMH CTN-RECESS","Transfusion Medicine and Hemostasis Clinical Trial Network (TMH CTN) - Red Cell Storage Duration Study (RECESS)","The objective of red-cell transfusion is to improve clinical outcomes. Since red cells undergo numerous changes during storage, multiple studies have assessed the association between the duration of red-cell storage and patient outcomes. Patients who have cardiac surgery often receive multiple units of red cells and may be especially vulnerable to end-organ injury because of compromised cardiac output. Several retrospective studies of the effect of the duration of red-cell storage in patients undergoing cardiac surgery have been conducted with differing results. Therefore, the Red-Cell Storage Duration Study (RECESS) was initiated to compare clinical outcomes after cardiac surgery in patients who received transfused red cells stored for 10 days or less or for 21 days or more.","The results of this study do not support the preferential transfusion of red cells with shorter storage periods in patients 12 years of age or older who are undergoing complex cardiac surgery.

Steiner ME, Ness PM, Assmann SF, et al. Effects of red-cell storage duration on patients undergoing cardiac surgery. N Engl J Med. 2015;372(15):1419-1429. doi:10.1056/NEJMoa1414219","Cardiac Surgery, Erythrocyte Transfusion","To compare clinical outcomes after cardiac surgery in patients who received transfused red cells stored for 10 days or less or for 21 days or more.","Participants were required to be 12 years of age or older, weigh 40 kg or more, and be scheduled for complex cardiac surgery with planned median sternotomy. Patients 18 years of age or older were also required to have a score of 3 or higher on the Transfusion Risk Understanding Scoring Tool (TRUST), which corresponds to a likelihood of receiving a red-cell transfusion during surgery or on the first day after surgery of 60% or more.

A total of 1481 individuals underwent randomization; 538 participants randomized to the group receiving red-cell units stored for 10 days or less (shorter-term storage group) met the criteria for evaluation and 560 participants randomized to the group receiving red-cell units stored for 21 days or more (longer-term storage group) met the criteria for evaluation."
"MEDFOCUS","MEDication Focused Outpatient Care for Underutilization of Secondary Prevention (MEDFOCUS)","Adherence to guidelines for cardiovascular disease (CVD) treatment and prevention is low with regional and age variations. The primary barrier is suboptimal medication use leading to poor disease control, often because busy providers must address acute non-CVD complaints. Numerous studies have demonstrated the value of including pharmacists in team-based care to improve adherence to cardiovascular guidelines, medication adherence and risk factor control. However, onsite clinical pharmacists are often too busy to provide the frequent contact needed for adherence and medication management. Additionally, there is limited information on whether team-based care models can be successfully implemented more widely in diverse settings and populations. Therefore, the MEDFOCUS study was initiated to determine whether a centralized cardiovascular risk service (CVRS) managed by clinical pharmacists could be implemented in large numbers of medical offices and if it would be effective in diverse populations.","","Hypertension, Diabetes Mellitus, Hyperlipidemia, Cardiovascular Diseases","The MEDFOCUS study aimed to evaluate whether a centralized, web-based cardiovascular risk service managed by clinical pharmacists would improve guideline adherence in multiple primary care medical offices with diverse geographic and patient characteristics.","Eligible participants were English speaking males or females greater than 55 years of age with a history of at least one of the following: coronary artery disease, myocardial infarction (MI), stroke, transient ischemic attack (TIA), atrial fibrillation, systolic heart failure or the following coronary artery disease (CAD) risk equivalents - peripheral vascular disease/claudication, carotid artery disease or diabetes mellitus with co-existing uncontrolled hypertension and/or hyperlipidemia.

A total of 402 subjects were enrolled."
"BMT CTN-0601","Blood and Marrow Transplant Clinical Trials Network (BMT CTN) Unrelated Donor Reduced Intensity Bone Marrow Transplant for Children With Severe Sickle Cell Disease (0601)","Sickle cell disease (SCD), also known as sickle cell anemia, is an inherited blood disease that can cause organ damage, stroke, and intense pain episodes. Children with sickle cell disease experience organ damage, impaired quality of life, and premature mortality. A blood stem cell transplant is a treatment option for someone with a severe form of the disease.

Prior to undergoing a transplant, people typically receive a conditioning regimen of high doses of chemotherapy and other medications to prepare the body to accept the transplant. This type of conditioning regimen is known as a myeloablative conditioning regiment, but it can result in toxicities and sterility. A conditioning regimen that uses lower doses of chemotherapy and medications may be safer for transplant recipients. This type of regimen is known as reduced intensity conditioning (RIC) regimen. RIC has a more favorable toxicity profile but is associated with higher rates of graft rejection (GR), especially with graft sources such as umbilical cord blood   This study evaluated the safety and effectiveness of blood stem cell transplants, using bone marrow from unrelated donors, in children with severe SCD who receive a RIC regimen prior to the transplant.","The trial met its prespecified 1-year EFS, and significantly improved HRQL was reported posttransplant. However, although the Reduced-intensity conditioning (RIC) provided successful engraftment in most patients, the regimen cannot be considered safe for widespread adoption without modification due to the regimen-related toxicity (RRT) and high rate of chronic GVHD, which was the predominant cause of mortality.

Shenoy S, Eapen M, Panepinto JA, et al. A trial of unrelated donor marrow transplantation for children with severe sickle cell disease. Blood. 2016;128(21):2561-2567. doi:10.1182/blood-2016-05-715870","Anemia, Sickle Cell","The primary objective is to determine event-free survival (EFS) at 1 year after unrelated donor (URD) hematopoietic stem cell transplantation (HCT) using bone marrow (BM) in patients with sickle cell disease (SCD).","Patients 3.0-19.75 years old with symptomatic SCD AND one or more of the following complications: (1)-(i) a clinically significant neurologic event (stroke) or any neurologic defect lasting > 24 hours and accompanied by an infarct on cerebral magnetic resonance imaging (MRI); OR, (ii) patients who have a Transcranial Doppler (TCD) velocity that exceeds 200 cm/sec by the non-imaging technique (or TCD measurement of >185 cm/sec by the imaging technique) measured at a minimum of 2 separate occasions one month or more apart; OR, (2) Minimum of two episodes of acute chest syndrome within the preceding 2-year period defined as new pulmonary alveolar consolidation involving at least one complete lung segment (associated with acute symptoms including fever, chest pain, tachypnea, wheezing, rales, or cough that is not attributed to asthma or bronchiolitis) despite adequate supportive care measures; OR, (3) History of 3 or more severe pain events (defined as new onset of pain that lasts for at least 2 hours for which there is no other explanation) per year in the 2 years prior to enrollment despite adequate supportive care measures (if patients are receiving hydroxyurea and compliant with therapy, being symptomatic is an indication for transplantation; however, if patients decline hydroxyurea or non-compliant with this therapy, they would still remain eligible for study if pain criteria as described above are met).  Lansky/Karnofsky performance score must be ≥ 40.  Hemoglobin S must be ≤ 45%.  Patients must have an unrelated adult bone marrow donor who is HLA-matched at 8 of 8 HLA-A, -B, -C and -DRB1 at high resolution using DNA-based typing.  Patients with bridging fibrosis or cirrhosis of the liver, with uncontrolled bacterial, viral, or fungal infection in the past month, or seropositivity for HIV are excluded.  Patients with HLA-matched family donors, or who have received prior HCT, and females who are pregnant or breast feeding are excluded. Thirty patients were enrolled on this study and of these, 29 patients met the criteria and proceeded to the study tranpslant."
"HFN-FIGHT","Heart Failure Network (HFN) Functional Impact of GLP-1 for Heart Failure Treatment (FIGHT)","Heart failure was the leading cause of hospitalization in the United States with more than 4 million admissions per year from 2003–2009. Abnormal cardiac metabolism contributes to the pathophysiology of advanced heart failure with reduced left ventricular ejection fraction (LVEF). As heart failure progresses, these abnormalities become more pronounced and are observed in both patients with and without type 2 diabetes. At this time of this study, there was no heart failure therapy that targeted these metabolic abnormalities; however, in earlier clinical studies, glucagon-like peptide 1 (GLP-1) agonists showed cardioprotective effects in patients with advanced heart failure, irrespective of type 2 diabetes status. Glucagon-like peptide 1 is an endogenous incretin hormone that improves insulin sensitivity with minimal risk of hypoglycemia. This study was created to determine if use of GLP-1 agonists improved clinical stability in recently hospitalized patients with acute heart failure and reduced LVEF.","The GLP-1 agonist liraglutide did not improve post-hospitalization clinical stability in patients with advanced heart failure and reduced LVEF. There was no significant between-group difference in the global rank scores and furthermore, there were no significant differences detected in any of the secondary endpoints.

Margulies KB, Hernandez AF, Redfield MM, et al. Effects of Liraglutide on Clinical Stability Among Patients With Advanced Heart Failure and Reduced Ejection Fraction: A Randomized Clinical Trial. JAMA. 2016;316(5):500-508. doi:10.1001/jama.2016.10260","Heart Failure, Acute Heart Failure","To test whether therapy with a GLP-1 agonist improves clinical stability following hospitalization for acute heart failure.","Participants, aged 18 years or older, were required to have an established diagnosis of heart failure and a LVEF of 40% or lower during the preceding 3 months. Additional inclusion criteria included: (1) a recent (within 14 days) hospitalization for an acute heart failure syndrome despite already receiving evidence-based therapies and (2) a preadmission oral diuretic dose of at least 40 mg of furosemide or an equivalent.

Key exclusion criteria were (1) recent acute coronary syndrome or coronary intervention, (2) known intolerance of GLP-1 agonist therapy, and (3) severe renal, hepatic, or pulmonary disease. Subjects with and without type 2 diabetes were enrolled in the trial, however, subjects with type 1 diabetes were excluded from participation.

In total, 300 patients were randomized. Of these, 154 were randomized to the treatment arm and 146 were randomized to the placebo arm."
"HFN-ATHENA HF","Heart Failure Network (HFN) Aldosterone Targeted Neurohormonal Combined with Natriuresis Therapy - HF (ATHENA HF)","Acute heart failure (AHF) accounts for more than a million hospitalizations in the United States annually. The role of low-dose mineralocorticoid receptors antagonists (MRAs) therapy as a neurohormonal antagonist is well established for the treatment of chronic heart failure and reduced ejection fraction. However, the role of high-dose MRA therapy in AHF remained uncertain. A previous clinical trial suggested that the benefits of high-dose MRA therapy in AHF included lower natriuretic peptide levels, less congestion, better renal function, and less need for an intravenous diuretic.

The use of intravenous loop diuretics can intensify secondary hyperaldosteronism among AHF patients and hyperaldosteronism directly contributes to diuretic resistance in AHF. Elevated aldosterone levels in AHF are associated with an increased risk of cardiovascular mortality and HF readmission. Hospitalizations for heart failure are associated with increased risk of mortality and/or readmission.

The HFN-ATHENA trial was conducted to determine if mineralocorticoid receptor antagonists administered at high doses relieved congestion, decreased diuretic resistance, and mitigated the effects of adverse neurohormonal activation in AHF.","There was no significant difference in the primary or secondary endpoints between the high-dose treatment arm and the usual care treatment arm.

Butler J, Anstrom KJ, Felker GM, et al. Efficacy and Safety of Spironolactone in Acute Heart Failure: The ATHENA-HF Randomized Clinical Trial. JAMA Cardiol. 2017;2(9):950-958. doi:10.1001/jamacardio.2017.2198","Heart Failure","To assess whether high-dose spironolactone treatment for patients with acute heart failure lowers natriuretic peptide levels and improves outcomes better than usual care.","Participants were deemed eligible if they had a clinical diagnosis of heart failure with at least 1 sign and 1 symptom of AHF and with an N-terminal pro-B-type natriuretic peptide (NT-proBNP) level ≥1000 pg/mL or ≥BNP level of 250 pg/mL measured within 24 hours of randomization. Eligible participants were either receiving no spironolactone or receiving low-dose spironolactone (12.5 or 25 mg per day) at home before hospital admission. Participants were also required to have a serum potassium concentration of ≤5.0 mEq/L, an estimated glomerular filtration rate of ≥30 mL/min/1.73m2, and a systolic blood pressure level of ≥90 mm Hg.

Patients receiving eplerenone or ≥25 mg of spironolactone were excluded. Additional exclusion criteria included: severe liver disease, active infection, active gastrointestinal bleeding, and active malignancy other than non-melanoma skin cancers.

The ATHENA trial enrolled 360 participants. Of these, 178 participants were randomized to usual care treatment (placebo or low-dose spironolactone) and 182 participants were randomized to high-dose spironolactone."
"TMH CTN-RING","Transfusion Medicine and Hemostasis Clinical Trial Network (TMH CTN) - Resolving Infection in Neutropenia With Granulocytes (RING)","Thousands of people each year are hospitalized for neutropenia. Neutropenia commonly develops in people who have undergone chemotherapy or hematopoietic stem cell (HSC) transplantation. In neutropenia, the number of neutrophils, a type of granulocyte, is greatly reduced, weakening the body's immune system and increasing the risk of infection. Several older studies showed that the transfusion of donor granulocytes is effective in promoting the recovery of adequate numbers of granulocytes. However, since granulocyte transfusions can cause side effects, this therapy was rarely used. Interest in this therapy was renewed with the introduction of granulocyte colony-stimulating factor (G-CSF). Giving G-CSF to donors increases the number of granulocytes that can be collected. However, no clear answer on efficacy has yet resulted from the more recent clinic trials of high-dose granulocyte transfusion therapy. Therefore, this study was initiated to evaluate the safety and effectiveness of granulocyte transfusions in treating people with a bacterial or fungal infection during neutropenia.","There were no significant differences between the granulocyte and control arms in survival or clinical response to infection in patients with neutropenia.

Price TH, Boeckh M, Harrison RW, et al. Efficacy of transfusion with granulocytes from G-CSF/dexamethasone-treated donors in neutropenic patients with infection. Blood. 2015;126(18):2153-2161. doi:10.1182/blood-2015-05-645986","Neutropenia, Infection","To compare the safety and effectiveness of granulocyte transfusions along with standard care versus standard care alone in improving survival rates in people with a bacterial or fungal infection during neutropenia.","Eligible patients were those of any age with neutropenia, defined as absolute neutrophil count (ANC) <500 cells per µL, due to aggressive chemotherapy, hematopoietic stem cell transplantation or underlying marrow disease (eg, aplastic anemia); and proven or presumed bacterial or fungal infection.

One hundred fourteen subjects were enrolled and randomized, 58 to the control arm and 56 to the granulocyte transfusion arm. Due to patient withdrawal or an inability to determine the success of the treatment regimen, only 97 subjects were evaluated for the primary outcome."
"PETAL-RED CORAL","Prevention and Early Treatment of Acute Lung Injury (PETAL) Network - Repository of Electronic Data COVID-19 Observational Study (RED CORAL)","Shortly after the identification of the novel pathogen severe acute respiratory syndrome coronavirus 2 (SARS-CoV2), the World Health Organization declared COVID-19 a public health emergency of international concern. When this study began, the epidemiology of patients hospitalized with severe COVID-19 had not been well defined, especially in the American context. There were significant knowledge gaps regarding demographics, clinical characteristics, trajectory of disease, timing of recovery, predictors of organ failure and death, resource utilization, and post-hospital outcomes. Furthermore, there existed limited understanding of biologic pathways activated by this viral syndrome and which patients were at risk for progression to more severe illness. The purpose of the PETAL-RED CORAL study was to inform epidemiology and resource utilization through data collection and creation of a data repository.","In a geographically diverse early-pandemic COVID-19 cohort with complete hospital follow-up, hospital mortality was associated with older age, comorbidity burden, and male sex. Intensive care unit admissions occurred early and were associated with protracted hospital stays. Survivors often required new health care services or respiratory support at discharge.

Peltan ID, Caldwell E, Admon AJ, Attia EF, Gundel SJ, Mathews KS, Nagrebetsky A, Sahetya SK, Ulysse C, Brown SM, Chang SY, Goodwin AJ, Hope AA, Iwashyna TJ, Johnson NJ, Lanspa MJ, Richardson LD, Vranas KC, Angus DC, Baron RM, Haaland BA, Hayden DL, Thompson BT, Rice TW, Hough CL. Characteristics and Outcomes of US Patients Hospitalized With COVID-19. Am J Crit Care. 2021 Oct 28:e1-e12. doi: 10.4037/ajcc2022549. Epub ahead of print. PMID: 34709373.","","The objective of PETAL-RED CORAL was to collect data for investigation of demographics, clinical characteristics, risk factors, care practices, outcomes and resource utilization of patients hospitalized with severe acute COVID-19.","Eligible participants were hospitalized adult patients who had a positive test for COVID-19 within 14 days of admission. Patients had evidence of acute COVID-19 as characterized by signs and symptoms such as fever, cough, dyspnea, hypoxemia, and infiltrates on chest imaging. PETAL-RED CORAL includes patients who presented for admission to study hospitals between March 1st, 2020 and April 1st, 2020."
